               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,             0.08143,            0.023721,            0.021794,          0.00022336,            0.071429,          0.00013792,          2.0188e-05,            0.065265,           0.0085875,            0.017001,          0.00063484,          0.00063484,            0.094235
                  65,            0.083263,              0.0242,             0.02325,          0.00021422,            0.071429,          0.00013457,          2.6914e-05,            0.065439,           0.0085607,            0.017002,           0.0006446,           0.0006446,            0.094145
                  66,            0.082944,            0.021506,            0.023565,          0.00021659,            0.071429,          0.00013555,           2.711e-05,            0.065616,           0.0085226,            0.017003,          0.00065435,          0.00065435,            0.094054
                  67,            0.081173,             0.02239,             0.02198,                   0,                   0,                   0,                   0,            0.065527,           0.0085215,            0.017006,          0.00066409,          0.00066409,            0.093964
                  68,            0.082286,            0.026543,            0.022474,          0.00023256,            0.071429,          0.00013624,          2.7248e-05,            0.065386,           0.0085472,            0.017006,          0.00067382,          0.00067382,            0.093874
                  69,            0.081589,            0.021879,            0.023809,          0.00035137,             0.10714,          0.00023763,          3.8241e-05,            0.064773,           0.0086181,            0.017008,          0.00068354,          0.00068354,            0.093784
                  70,            0.081817,            0.020755,            0.023107,          0.00051964,              0.1456,           0.0003219,          4.5442e-05,            0.064262,           0.0086709,            0.017011,          0.00069326,          0.00069326,            0.093693
                  71,             0.08225,            0.021588,            0.022352,          0.00035621,             0.10714,          0.00024827,          2.4827e-05,            0.064037,           0.0086908,            0.017015,          0.00070296,          0.00070296,            0.093603
                  72,            0.078811,            0.023703,            0.022452,          0.00052196,              0.1456,          0.00032446,          3.2446e-05,            0.064051,           0.0086844,            0.017019,          0.00071266,          0.00071266,            0.093513
                  73,            0.080431,            0.022585,            0.023764,          0.00052194,              0.1456,          0.00032353,          3.2353e-05,            0.064148,             0.00868,            0.017019,          0.00072235,          0.00072235,            0.093422
                  74,            0.085258,            0.021083,            0.023068,           0.0003337,             0.10714,          0.00022939,          2.2939e-05,            0.064002,           0.0086903,            0.017015,          0.00073204,          0.00073204,            0.093332
                  75,            0.080962,            0.023373,            0.022777,          0.00033215,             0.10714,          0.00022324,          3.5345e-05,            0.064394,             0.00863,            0.017011,          0.00074171,          0.00074171,            0.093242
                  76,            0.081624,            0.021948,            0.023313,          0.00022085,            0.071429,          0.00013583,          2.6116e-05,            0.064787,           0.0085713,             0.01701,          0.00075138,          0.00075138,            0.093151
                  77,            0.079987,            0.024368,            0.021884,          0.00022681,            0.071429,          0.00014221,          2.0997e-05,            0.064959,           0.0085473,            0.017007,          0.00076103,          0.00076103,            0.093061
                  78,            0.086312,            0.024166,            0.022153,          0.00023929,            0.071429,          0.00014842,          2.8329e-05,            0.065176,           0.0085227,            0.016998,          0.00077068,          0.00077068,            0.092971
                  79,            0.084154,            0.021765,            0.025657,           0.0002317,            0.071429,          0.00014906,           2.854e-05,            0.065191,           0.0085274,            0.016998,          0.00078032,          0.00078032,             0.09288
                  80,            0.078705,            0.026096,            0.022405,          0.00022356,            0.071429,           0.0001537,           2.869e-05,            0.065417,           0.0085062,            0.016997,          0.00078995,          0.00078995,             0.09279
                  81,              0.0791,            0.023409,            0.023932,          0.00024949,            0.071429,          0.00016069,          3.0371e-05,            0.065667,           0.0084817,            0.016995,          0.00079957,          0.00079957,              0.0927
                  82,            0.082531,            0.024395,            0.022549,          0.00023918,            0.071429,          0.00015287,          3.7457e-05,            0.065879,           0.0084501,            0.016997,          0.00080918,          0.00080918,            0.092609
                  83,             0.07963,            0.024727,            0.021129,          0.00024307,            0.071429,           0.0001535,          2.2361e-05,            0.065646,           0.0084946,            0.016999,          0.00081878,          0.00081878,            0.092519
                  84,            0.077754,            0.022489,            0.020975,             0.50043,             0.10714,          0.00025643,          3.3228e-05,            0.065285,           0.0085404,            0.016998,          0.00082837,          0.00082837,            0.092428
                  85,            0.082777,            0.021567,            0.025485,          0.00052499,              0.1456,          0.00034805,          3.4805e-05,            0.064947,           0.0085912,            0.017004,          0.00083795,          0.00083795,            0.092338
                  86,            0.079521,            0.022772,            0.022725,          0.00066819,             0.18132,          0.00045989,          4.5989e-05,            0.064454,           0.0086505,            0.017008,          0.00084752,          0.00084752,            0.092248
                  87,             0.07903,             0.02659,            0.022248,          0.00053655,              0.1456,          0.00035236,          3.5236e-05,            0.064491,           0.0086428,            0.017013,          0.00085708,          0.00085708,            0.092157
                  88,            0.076917,            0.026391,            0.022809,          0.00053926,              0.1456,          0.00035555,          4.3018e-05,            0.064528,           0.0086378,            0.017021,          0.00086663,          0.00086663,            0.092067
                  89,            0.078518,             0.02391,            0.022632,          0.00053121,              0.1456,          0.00034632,          3.4632e-05,            0.064828,           0.0085994,            0.017019,          0.00087617,          0.00087617,            0.091976
                  90,            0.079549,            0.024073,            0.022314,          0.00054107,              0.1456,          0.00033929,          4.8706e-05,            0.064814,           0.0086039,            0.017026,          0.00088571,          0.00088571,            0.091886
                  91,            0.078499,            0.027117,            0.021662,             0.50038,             0.10714,          0.00026085,          3.3525e-05,            0.065223,           0.0085593,            0.017029,          0.00089523,          0.00089523,            0.091795
                  92,            0.080075,            0.023452,            0.020954,              0.5004,             0.10714,          0.00027845,          4.2298e-05,            0.065272,           0.0085634,            0.017026,          0.00090474,          0.00090474,            0.091705
                  93,            0.077467,            0.025489,            0.021134,             0.50026,            0.071429,          0.00019697,          2.7227e-05,            0.065341,           0.0085531,            0.017016,          0.00091424,          0.00091424,            0.091614
                  94,            0.077647,            0.023291,            0.021086,          0.00039557,             0.10714,          0.00026215,          3.3691e-05,            0.065325,           0.0085684,            0.017021,          0.00092372,          0.00092372,            0.091524
                  95,            0.081031,            0.021453,            0.022705,             0.50023,            0.035714,          0.00012746,          1.2746e-05,            0.065209,           0.0085841,            0.017027,           0.0009332,           0.0009332,            0.091433
                  96,            0.078291,            0.024826,            0.020815,          0.00056379,              0.1456,          0.00038018,          3.8018e-05,            0.064991,           0.0086189,            0.017024,          0.00094267,          0.00094267,            0.091343
                  97,            0.078924,            0.024792,            0.021791,          0.00067826,             0.18132,          0.00046182,          4.6182e-05,             0.06501,           0.0086233,            0.017022,          0.00095212,          0.00095212,            0.091252
                  98,             0.08158,             0.02435,            0.021261,          0.00054025,              0.1456,          0.00037321,          5.2387e-05,             0.06514,            0.008603,            0.017018,          0.00096157,          0.00096157,            0.091162
